date,orders,revenue_trieu
2025-10-16,1274,639.9
2025-10-17,1248,661.8
2025-10-18,1339,700.2
2025-10-19,1289,688.8
2025-10-20,1153,611.4
2025-10-21,1092,571.2
2025-10-22,1194,617.5
2025-10-23,1140,595.7
2025-10-24,1290,662.4
2025-10-25,1329,700.6
2025-10-26,1334,706.4
2025-10-27,1260,627.8
2025-10-28,1186,619.0
2025-10-29,1162,621.2
2025-10-30,1217,649.8
2025-10-31,1228,658.5
2025-11-01,1366,706.8
2025-11-02,1343,711.5
2025-11-03,1148,602.6
2025-11-04,1207,636.0
2025-11-05,1251,648.6
2025-11-06,1176,630.0
2025-11-07,1287,691.6
2025-11-08,1384,725.5
2025-11-09,1348,701.7
2025-11-10,1158,605.0
2025-11-11,1143,612.1
2025-11-12,1219,632.7
2025-11-13,1241,663.0
2025-11-14,1247,662.9
2025-11-15,1357,726.9
2025-11-16,1331,683.5
2025-11-17,1196,621.0
2025-11-18,1223,635.5
2025-11-19,1347,692.3
2025-11-20,1276,634.4
2025-11-21,1311,712.5
2025-11-22,1364,727.5
2025-11-23,1351,719.0
2025-11-24,1181,632.5
2025-11-25,1203,647.2
2025-11-26,1230,651.2
2025-11-27,1282,691.0
2025-11-28,1307,683.4
2025-11-29,1428,750.7
2025-11-30,1353,705.5
2025-12-01,1219,634.8
2025-12-02,1203,625.3
2025-12-03,1259,667.6
2025-12-04,1594,810.9
2025-12-05,1327,695.5
2025-12-06,1344,732.0
2025-12-07,1309,702.2
2025-12-08,1167,636.9
2025-12-09,1180,621.1
2025-12-10,1228,648.0
2025-12-11,1279,679.2
2025-12-12,1429,725.5
2025-12-13,1517,791.0
2025-12-14,1380,716.5
2025-12-15,1253,671.6
2025-12-16,1227,658.8
2025-12-17,1267,666.3
2025-12-18,1310,687.4
2025-12-19,1298,707.4
2025-12-20,1415,746.9
2025-12-21,1376,724.1
2025-12-22,1182,624.9
2025-12-23,1178,630.8
2025-12-24,1288,684.9
2025-12-25,1285,678.7
2025-12-26,1331,699.5
2025-12-27,1438,748.9
2025-12-28,1451,749.6
2025-12-29,1241,657.1
2025-12-30,1225,650.5
2025-12-31,1339,698.9
